code,name,type,state
861,元大全球未來通訊,ETF,上市
1101,台泥,ETF,上市
1102,亞泥,ETF,上市
1103,嘉泥,ETF,上市
1104,環泥,ETF,上市
1108,幸福,ETF,上市
1109,信大,ETF,上市
1110,東泥,ETF,上市
1201,味全,ETF,上市
1203,味王,水泥,上市
1210,大成,水泥,上市
1213,大飲,水泥,上市
1215,卜蜂,水泥,上市
1216,統一,水泥,上市
1217,愛之味,水泥,上市
1218,泰山,水泥,上市
1219,福壽,食品,上市
1220,台榮,食品,上市
1225,福懋油,食品,上市
1227,佳格,食品,上市
1229,聯華,食品,上市
1231,聯華食,食品,上市
1232,大統益,食品,上市
1233,天仁,食品,上市
1234,黑松,食品,上市
1235,興泰,食品,上市
1236,宏亞,食品,上市
1240,茂生農經,食品,上市
1256,鮮活果汁-KY,食品,上市
1258,其祥-KY,食品,上市
1259,安心,食品,上市
1260,富味鄉,食品,上市
1264,德麥,食品,上市
1268,漢來美食,食品,上市
1269,乾杯,食品,上市
1301,台塑,食品,上市
1303,南亞,食品,上市
1304,台聚,食品,上櫃
1305,華夏,食品,上櫃
1307,三芳,塑膠,上市
1308,亞聚,塑膠,上市
1309,台達化,塑膠,上市
1310,台苯,塑膠,上市
1312,國喬,塑膠,上市
1313,聯成,塑膠,上市
1314,中石化,塑膠,上市
1315,達新,塑膠,上市
1316,上曜,塑膠,上市
1319,東陽,塑膠,上市
1321,大洋,塑膠,上市
1323,永裕,塑膠,上市
1324,地球,塑膠,上市
1325,恆大,塑膠,上市
1326,台化,塑膠,上市
1333,恩得利,塑膠,上市
1336,台翰,塑膠,上市
1337,再生-KY,塑膠,上市
1338,廣華-KY,塑膠,上市
1339,昭輝,塑膠,上市
1340,勝悅-KY,塑膠,上櫃
1341,富林-KY,塑膠,上櫃
1342,八貫,塑膠,上市
1402,遠東新,塑膠,上市
1409,新纖,塑膠,上市
1410,南染,紡織纖維,上市
1413,宏洲,紡織纖維,上市
1414,東和,紡織纖維,上市
1416,廣豐,紡織纖維,上市
1417,嘉裕,紡織纖維,上市
